1gpu-128thread,1gpu-256thread,1gpu-64thread,8gpu-128thread,8gpu-256thread,8gpu-64thread,nodes
0.570282697678,0.570062160492,0.585258722305,0.560813426971,0.563810586929,0.578822851181,10
0.512453317642,0.500834465027,0.497449874878,0.501636505127,0.471217870712,0.457807064056,20
1.0781083107,1.07540416718,1.11969232559,1.05591416359,1.05897593498,1.10736012459,30
2.72981905937,2.64896869659,2.78074836731,2.73354482651,2.71265602112,2.75540947914,40
6.14252686501,6.16821885109,6.85421514511,6.30909991264,6.13457965851,6.86194825172,50
12.7663400173,12.8865563869,14.3997116089,12.8450713158,13.030428648,14.3069291115,60
23.8323533535,23.8623631001,26.8707885742,23.8017501831,23.8142328262,26.881575346,70
41.3785748482,41.1286628246,46.7078053951,41.1829283237,41.0426435471,46.60668993,80
66.4902710915,66.7698738575,75.4498763084,66.4611730576,66.5561900139,75.4997637272,90
102.396767855,102.689236403,116.268402815,102.602614403,102.595057964,116.220021009,100
