1gpu-128thread,1gpu-256thread,1gpu-64thread,8gpu-128thread,8gpu-256thread,8gpu-64thread,nodes
0.172123193741,0.175368785858,0.17295217514,0.157400846481,0.15692949295,0.157908439636,10
0.264791488647,0.25985622406,0.259693145752,0.235988855362,0.237908840179,0.237572431564,20
0.332061052322,0.338034152985,0.337747573853,0.314166784286,0.315956830978,0.316859722137,30
0.425150632858,0.425808191299,0.429751873016,0.403581380844,0.414278745651,0.402462005615,40
0.501664161682,0.496664762497,0.503724813461,0.46973824501,0.470041275024,0.468006134033,50
0.579228639603,0.576313018799,0.577807664871,0.549828052521,0.550807237625,0.550464391708,60
0.661874771118,0.66129732132,0.65797328949,0.626859664917,0.629972696304,0.628293514252,70
0.731787443161,0.725350379944,0.739948511124,0.702709197998,0.701639175415,0.704472064972,80
0.810343503952,0.803820848465,0.8108689785,0.778053998947,0.7768034935,0.777908563614,90
0.886469364166,0.885410785675,0.884907007217,0.866666555405,0.859043598175,0.854788780212,100
3.99560523033,4.00997257233,4.00412011147,3.95667505264,3.92389464378,3.94073867798,500
7.79365062714,7.77706480026,7.80656766891,7.7644174099,7.75068855286,7.7670352459,1000
37.8320236206,37.9164259434,37.9479978085,37.6573479176,37.8856935501,37.7678010464,5000
75.7557604313,75.4069914818,75.4507932663,75.4491834641,75.3666675091,75.2818090916,10000
